Date,Actual price
09/08/23,1000.9
10/08/23,1004.9
11/08/23,1001.1
14/08/23,1000.5
15/08/23,999.1
16/08/23,998.2
17/08/23,992.9
18/08/23,991.2
21/08/23,991.5
22/08/23,993.4
23/08/23,994
24/08/23,990.9
25/08/23,990.3
28/08/23,992.6
29/08/23,992
30/08/23,991.7
31/08/23,995.1
01/09/23,995.3
04/09/23,996.4
05/09/23,996.4
06/09/23,996.6
07/09/23,993.9
08/09/23,993.3
11/09/23,990.5
12/09/23,991.1
13/09/23,989.6
14/09/23,989.1
15/09/23,993.9
18/09/23,991.4
19/09/23,992.2
20/09/23,991.5
21/09/23,991
22/09/23,987.9
25/09/23,982.9
26/09/23,978.4
27/09/23,981.9
28/09/23,981.2
29/09/23,982.2
02/10/23,981.1
03/10/23,980.2
04/10/23,985.8
05/10/23,985.2
06/10/23,986
09/10/23,985.2
10/10/23,987.7
11/10/23,987.6
12/10/23,989.2
13/10/23,988.3
16/10/23,988.4
17/10/23,987.2
18/10/23,984.8
19/10/23,982.5
20/10/23,978.4
23/10/23,979.6
24/10/23,994.4
25/10/23,995.7
26/10/23,993.8
27/10/23,995.1
30/10/23,995
31/10/23,996.2
01/11/23,996.1
02/11/23,996.9
03/11/23,997.5
06/11/23,997.3
07/11/23,998.2
08/11/23,998.6
09/11/23,998.8
