Date,Open,High,Low,Close
11/08/22,54.84,55.919998,54.439999,55.400002
12/08/22,55.16,55.66,54.580002,55.279999
15/08/22,55.439999,55.68,54.700001,54.959999
16/08/22,55.240002,55.360001,54.580002,55.139999
17/08/22,55.34,55.619999,53.619999,53.82
18/08/22,53.860001,54.200001,53.34,54
19/08/22,53.5,53.700001,52.02,52.279999
22/08/22,51.98,52.279999,50.84,51.080002
23/08/22,50.779999,51.18,49.880001,50.759998
24/08/22,50.540001,51.279999,49.799999,51.040001
25/08/22,51.080002,51.66,50.66,51.380001
26/08/22,51.740002,52.040001,49.450001,49.720001
29/08/22,49.200001,49.919998,48.73,49.32
30/08/22,49.82,50.18,49.09,49.299999
31/08/22,49.799999,49.799999,48.150002,48.860001
01/09/22,48.5,48.52,47.630001,47.77
02/09/22,48.540001,49.25,47.77,48.970001
05/09/22,48,48.169998,47.220001,47.630001
06/09/22,47.459999,48.310001,47.139999,47.389999
07/09/22,46.900002,47.330002,46.509998,47.150002
08/09/22,47.259998,47.43,45.189999,46.560001
09/09/22,46.759998,48.59,46.759998,48.490002
12/09/22,48.689999,50.380001,48.400002,50.02
13/09/22,50.200001,50.740002,48.419998,48.650002
14/09/22,48.299999,48.84,47.490002,47.970001
15/09/22,47.57,48.200001,47.41,47.470001
16/09/22,46.869999,47.57,46.57,47.099998
19/09/22,47.029999,47.189999,46.290001,46.610001
20/09/22,46.830002,47.209999,46.200001,46.43
21/09/22,45.540001,46.450001,45.459999,46.32
22/09/22,45.34,46.360001,45.200001,45.240002
23/09/22,45.369999,45.5,43.970001,44.52
26/09/22,43.66,45.189999,43.639999,44.43
27/09/22,44.860001,46.060001,44.599998,45.34
28/09/22,45.009998,46.169998,44.349998,45.950001
29/09/22,46,46.049999,44.16,44.91
30/09/22,45.41,46.209999,44.630001,45.950001
03/10/22,44.630001,45.259998,42.459999,45.16
04/10/22,45.919998,47.52,45.709999,47.509998
05/10/22,47.099998,47.599998,46.130001,46.389999
06/10/22,47,47.459999,46.43,46.599998
07/10/22,46.049999,46.139999,43.720001,43.93
10/10/22,43.240002,44.389999,43.110001,44.02
11/10/22,43.720001,44.16,43.310001,43.880001
12/10/22,43.560001,43.959999,42.959999,43.16
13/10/22,43,44.330002,42.07,44.259998
14/10/22,45.209999,45.599998,44.439999,44.529999
17/10/22,44.360001,45.73,44.189999,45.23
18/10/22,45.720001,46.330002,44.889999,45.139999
19/10/22,45.16,45.240002,43.700001,43.950001
20/10/22,43.310001,44.740002,43.029999,44.419998
21/10/22,43.700001,44.959999,43.380001,44.48
24/10/22,44.509998,45.82,44.049999,45.5
25/10/22,46.5,51.279999,46.169998,51.18
26/10/22,50,50.919998,49.049999,50.779999
27/10/22,50.360001,51.439999,50.18,50.700001
28/10/22,50.360001,50.939999,49.68,50.639999
31/10/22,50.919998,50.919998,49.810001,49.849998
01/11/22,50.040001,50.779999,49.959999,50.139999
02/11/22,50,50.720001,49.57,50.18
03/11/22,49.470001,49.720001,48.580002,49.07
04/11/22,48.959999,50.700001,48.849998,50.200001
07/11/22,50.400002,52.380001,50.240002,52.380001
08/11/22,52.5,54.639999,52.360001,54.639999
09/11/22,54.099998,54.459999,53.099998,53.639999
10/11/22,53.18,56.700001,53,56.52
11/11/22,56.900002,59.279999,56.560001,59.119999
14/11/22,59,59.259998,57.860001,58.34
15/11/22,58.619999,58.939999,57.84,58.5
16/11/22,58.799999,58.919998,56.099998,56.360001
