Date,4W,8W,13W,17W,26W,52W,Average
9/8/2023,5.25,5.28,5.28,5.11,5.27,5.06,5.2083
10/8/2023,5.28,5.28,5.28,5.3,5.26,5.05,5.2417
11/8/2023,5.28,5.28,5.28,5.3,5.26,5.07,5.2450
14/8/2023,5.28,5.29,5.29,5.3,5.29,5.08,5.2550
15/8/2023,5.27,5.28,5.29,5.28,5.28,5.08,5.2467
16/8/2023,5.26,5.28,5.29,5.3,5.28,5.09,5.2500
17/8/2023,5.28,5.28,5.29,5.31,5.27,5.08,5.2517
18/8/2023,5.27,5.28,5.28,5.3,5.26,5.07,5.2433
21/8/2023,5.28,5.29,5.3,5.31,5.31,5.09,5.2633
22/8/2023,5.27,5.29,5.3,5.31,5.3,5.11,5.2633
23/8/2023,5.28,5.28,5.3,5.32,5.28,5.08,5.2567
24/8/2023,5.28,5.29,5.31,5.34,5.33,5.12,5.2783
25/8/2023,5.29,5.29,5.34,5.35,5.34,5.16,5.2950
28/8/2023,5.29,5.29,5.34,5.36,5.35,5.17,5.3000
29/8/2023,5.27,5.29,5.33,5.33,5.31,5.11,5.2733
30/8/2023,5.29,5.29,5.32,5.33,5.3,5.13,5.2767
31/8/2023,5.28,5.28,5.32,5.34,5.28,5.11,5.2683
1/9/2023,5.28,5.29,5.3,5.32,5.27,5.1,5.2600
4/9/2023,5.27,5.29,5.32,5.32,5.31,5.13,5.2733
5/9/2023,5.28,5.29,5.31,5.33,5.31,5.14,5.2767
6/9/2023,5.28,5.29,5.3,5.32,5.29,5.11,5.2650
7/9/2023,5.28,5.29,5.31,5.33,5.29,5.13,5.2717
8/9/2023,5.28,5.3,5.32,5.32,5.3,5.11,5.2717
11/9/2023,5.28,5.29,5.32,5.31,5.32,5.13,5.2750
12/9/2023,5.28,5.3,5.31,5.33,5.31,5.13,5.2767
13/9/2023,5.28,5.3,5.31,5.32,5.29,5.13,5.2717
14/9/2023,5.28,5.29,5.32,5.33,5.29,5.14,5.2750
15/9/2023,5.29,5.29,5.31,5.33,5.3,5.15,5.2783
18/9/2023,5.29,5.3,5.31,5.33,5.3,5.16,5.2817
19/9/2023,5.29,5.3,5.33,5.34,5.3,5.18,5.2900
20/9/2023,5.29,5.31,5.33,5.34,5.31,5.17,5.2917
21/9/2023,5.29,5.31,5.32,5.34,5.32,5.17,5.2917
22/9/2023,5.3,5.31,5.35,5.34,5.31,5.17,5.2967
25/9/2023,5.3,5.31,5.34,5.34,5.32,5.18,5.2983
26/9/2023,5.3,5.32,5.34,5.35,5.33,5.21,5.3083
27/9/2023,5.29,5.34,5.32,5.34,5.32,5.19,5.3000
28/9/2023,5.29,5.33,5.32,5.34,5.32,5.19,5.2983
29/9/2023,5.29,5.33,5.35,5.35,5.34,5.22,5.3133
2/10/2023,5.28,5.33,5.35,5.35,5.34,5.18,5.3050
3/10/2023,5.29,5.31,5.34,5.35,5.33,5.13,5.2917
4/10/2023,5.3,5.35,5.34,5.35,5.32,5.1,5.2933
5/10/2023,5.32,5.36,5.36,5.37,5.35,5.13,5.3150
6/10/2023,5.33,5.36,5.34,5.36,5.33,5.09,5.3017
9/10/2023,5.31,5.34,5.34,5.36,5.32,5.1,5.2950
10/10/2023,5.34,5.35,5.35,5.36,5.35,5.15,5.3167
11/10/2023,5.33,5.34,5.35,5.35,5.34,5.13,5.3067
12/10/2023,5.31,5.34,5.34,5.36,5.34,5.14,5.3050
13/10/2023,5.31,5.33,5.35,5.37,5.36,5.19,5.3183
16/10/2023,5.3,5.31,5.34,5.35,5.34,5.18,5.3033
17/10/2023,5.31,5.33,5.33,5.35,5.32,5.16,5.3000
18/10/2023,5.29,5.32,5.31,5.34,5.31,5.13,5.2833
19/10/2023,5.31,5.33,5.32,5.32,5.32,5.14,5.2900
20/10/2023,5.3,5.33,5.31,5.33,5.33,5.16,5.2933
23/10/2023,5.29,5.33,5.32,5.34,5.33,5.17,5.2967
24/10/2023,5.3,5.33,5.32,5.33,5.31,5.13,5.2867
25/10/2023,5.3,5.33,5.32,5.33,5.32,5.13,5.2883
26/10/2023,5.29,5.33,5.33,5.34,5.32,5.15,5.2933
27/10/2023,5.29,5.33,5.33,5.34,5.33,5.14,5.2933
30/10/2023,5.29,5.31,5.31,5.33,5.3,5.08,5.2700
31/10/2023,5.29,5.3,5.28,5.32,5.29,5.09,5.2617
1/11/2023,5.29,5.29,5.27,5.29,5.25,5.01,5.2333
2/11/2023,5.29,5.29,5.29,5.29,5.27,5.05,5.2467
3/11/2023,5.29,5.29,5.28,5.28,5.26,5.05,5.2417
6/11/2023,5.28,5.28,5.28,5.28,5.26,5.06,5.2400
7/11/2023,5.29,5.29,5.27,5.29,5.26,5.1,5.2500
8/11/2023,5.29,5.29,5.27,5.29,5.26,5.1,5.2500
9/11/2023,5.29,5.29,5.27,5.29,5.26,5.1,5.2500
