Date,Actual price
9/8/2023,986
10/8/2023,989.2
11/8/2023,985.8
14/8/2023,987.5
15/8/2023,988.1
16/8/2023,987.2
17/8/2023,982.4
18/8/2023,982.3
21/8/2023,983.9
22/8/2023,986.1
23/8/2023,987.8
24/8/2023,985
25/8/2023,983.2
28/8/2023,987.6
29/8/2023,988.9
30/8/2023,989.3
31/8/2023,992.2
1/9/2023,994.3
4/9/2023,996.5
5/9/2023,996.8
6/9/2023,997.3
7/9/2023,996.2
8/9/2023,995.3
11/9/2023,995.6
12/9/2023,996.5
13/9/2023,996.1
14/9/2023,995.5
15/9/2023,1001.3
18/9/2023,1001
19/9/2023,1002.2
20/9/2023,1001.3
21/9/2023,1001.9
22/9/2023,999.3
25/9/2023,998.4
26/9/2023,992.6
27/9/2023,1001.4
28/9/2023,1000.9
29/9/2023,1002.3
2/10/2023,1003.3
3/10/2023,1001.5
4/10/2023,1002.4
5/10/2023,1001.5
6/10/2023,1003.6
9/10/2023,1001.2
10/10/2023,1003.7
11/10/2023,1003.2
12/10/2023,1005.2
13/10/2023,1004.4
16/10/2023,1004.3
17/10/2023,1003.5
18/10/2023,1000.5
19/10/2023,999.6
20/10/2023,994.2
23/10/2023,996.5
24/10/2023,1009.7
25/10/2023,1011
26/10/2023,1008.1
27/10/2023,1009.4
30/10/2023,1009.2
31/10/2023,1010.6
1/11/2023,1010.9
2/11/2023,1011.9
3/11/2023,1012.4
6/11/2023,1011.7
7/11/2023,1013.3
8/11/2023,1013.2
9/11/2023,1013.4
